dg_id,driving_acc,driving_dist,player_name,sg_app,sg_arg,sg_ott,sg_putt,sg_total,last_updated
17488,0.041,-2.794,"Im, Sungjae",-0.16,0.416,0.108,0.162,0.525,2026-03-30 17:23:01 UTC
25362,0.033,-2.588,"Fitzpatrick, Alex",0.136,0.141,0.147,0.081,0.504,2026-03-30 17:23:01 UTC
21554,0.05,-5.058,"Poston, J.T.",0.104,0.043,0.192,0.159,0.498,2026-03-30 17:23:01 UTC
13944,-0.013,1.904,"Pieters, Thomas",0.276,0.07,0.147,-0.001,0.491,2026-03-30 17:23:01 UTC
22002,-0.032,6.821,"Dumont De Chassart, Adrien",0.099,0.1,0.148,0.143,0.491,2026-03-30 17:23:01 UTC
13764,0.041,-3.74,"Parry, John",0.314,-0.004,0.234,-0.061,0.483,2026-03-30 17:23:01 UTC
18238,0.086,-9.653,"Ancer, Abraham",0.318,-0.096,0.11,0.15,0.481,2026-03-30 17:23:01 UTC
22322,0.036,3.558,"McKibbin, Tom",-0.075,0.089,0.411,0.045,0.47,2026-03-30 17:23:01 UTC
19870,0.011,-5.649,"McCarthy, Denny",0.189,0.097,-0.234,0.414,0.465,2026-03-30 17:23:01 UTC
12577,-0.012,12.246,"Woodland, Gary",0.158,-0.266,0.452,0.118,0.463,2026-03-30 17:23:01 UTC
23604,-0.038,8.323,"Clark, Wyndham",0.335,0.198,0.001,-0.079,0.455,2026-03-30 17:23:01 UTC
11952,0.03,-5.891,"Grace, Branden",0.29,0.127,0.063,-0.032,0.447,2026-03-30 17:23:01 UTC
16243,-0.027,6.358,"Koepka, Brooks",0.417,-0.017,0.215,-0.184,0.431,2026-03-30 17:23:01 UTC
15310,0.007,5.403,"Li, Haotong",0.249,-0.167,0.364,-0.022,0.424,2026-03-30 17:23:01 UTC
32457,-0.005,10.972,"Keefer, Johnny",0.248,-0.242,0.565,-0.148,0.422,2026-03-30 17:23:01 UTC
20770,0.057,-6.015,"Munoz, Sebastian",0.327,-0.03,0.042,0.077,0.415,2026-03-30 17:23:01 UTC
16283,-0.03,5.91,"Rodgers, Patrick",0.122,0.11,0.061,0.119,0.412,2026-03-30 17:23:01 UTC
20085,0.007,-4.715,"Lindell, Oliver",0.506,0.001,-0.169,0.073,0.411,2026-03-30 17:23:01 UTC
20706,0.006,-0.283,"Wallace, Matt",0.22,0.177,0.029,-0.023,0.403,2026-03-30 17:23:01 UTC
11889,-0.061,8.422,"Fox, Ryan",0.093,0.073,0.121,0.106,0.393,2026-03-30 17:23:01 UTC
21407,-0.005,9.169,"Reitan, Kristoffer",-0.147,-0.166,0.464,0.239,0.39,2026-03-30 17:23:01 UTC
16394,-0.068,6.015,"Jaeger, Stephan",0.068,0.244,-0.202,0.277,0.387,2026-03-30 17:23:01 UTC
24766,0.019,-3.486,"Kim, Tom",0.239,0.209,-0.17,0.099,0.377,2026-03-30 17:23:01 UTC
23841,0.027,2.808,"Neergaard-Petersen, Rasmus",0.244,-0.076,0.322,-0.125,0.365,2026-03-30 17:23:01 UTC
8825,0.038,-4.996,"Harman, Brian",0.138,0.154,0.01,0.033,0.335,2026-03-30 17:23:01 UTC
11676,-0.054,3.956,"Finau, Tony",0.207,0.257,-0.235,0.089,0.318,2026-03-30 17:23:01 UTC
28473,-0.059,16.277,"Ballester, Jose Luis",-0.091,-0.248,0.585,0.066,0.311,2026-03-30 17:23:01 UTC
23465,-0.066,6.332,"Greyserman, Max",0.02,0.162,-0.22,0.345,0.306,2026-03-30 17:23:01 UTC
22985,0.047,0.593,"Smotherman, Austin",0.409,-0.17,0.372,-0.307,0.304,2026-03-30 17:23:01 UTC
15556,-0.032,1.139,"Hughes, Mackenzie",-0.026,0.197,-0.129,0.247,0.29,2026-03-30 17:23:01 UTC
22833,0.034,-5.405,"Echavarria, Nico",0.16,-0.125,0.029,0.221,0.285,2026-03-30 17:23:01 UTC
23475,-0.002,-0.844,"Novak, Andrew",0.159,0.074,0.022,0.023,0.277,2026-03-30 17:23:01 UTC
29770,0.015,5.918,"Mouw, William",0.026,-0.124,0.312,0.061,0.275,2026-03-30 17:23:01 UTC
15856,-0.051,-3.073,"Smith, Cameron",-0.282,0.494,-0.458,0.518,0.272,2026-03-30 17:23:01 UTC
14502,0.022,-3.518,"Cauley, Bud",0.268,0.093,0.001,-0.099,0.263,2026-03-30 17:23:01 UTC
10104,0.032,-3.787,"Power, Seamus",0.03,0.119,0.084,0.027,0.26,2026-03-30 17:23:01 UTC
24550,0.026,0.779,"Ghim, Doug",0.215,0.053,0.268,-0.284,0.252,2026-03-30 17:23:01 UTC
25157,0.049,-3.153,"Hodges, Lee",0.219,-0.089,0.171,-0.055,0.246,2026-03-30 17:23:01 UTC
18580,0.043,-5.851,"Gooch, Talor",0.151,0.099,-0.089,0.08,0.241,2026-03-30 17:23:01 UTC
26745,-0.013,6.126,"Chacarra, Eugenio",-0.007,-0.038,0.308,-0.036,0.225,2026-03-30 17:23:01 UTC
21944,-0.04,7.131,"Moore, Taylor",-0.198,0.133,0.15,0.121,0.206,2026-03-30 17:23:01 UTC
17538,-0.002,1.543,"Homa, Max",0.18,-0.067,0.02,0.067,0.201,2026-03-30 17:23:01 UTC
7649,-0.004,-3.177,"Leishman, Marc",0.238,0.096,-0.154,0.012,0.192,2026-03-30 17:23:01 UTC
