am,country,datagolf_rank,dg_id,dg_skill_estimate,owgr_rank,player_name,primary_tour,last_updated
0,RSA,272,15193,-0.511693992039151,188,"Van Tonder, Daniel",EURO,2026-03-30 11:59:12 UTC
0,USA,273,27164,-0.514807361281831,182,"Phillips, Chandler",PGA,2026-03-30 11:59:12 UTC
0,NZL,274,4871,-0.516307446269134,501,"Alker, Steven",CHAMP,2026-03-30 11:59:12 UTC
0,UAE,275,14975,-0.521878604672613,293,"Otaegui, Adrian",EURO,2026-03-30 11:59:12 UTC
0,USA,276,31955,-0.524270453412354,501,"Van Paris, Jackson",KFT,2026-03-30 11:59:12 UTC
0,ESP,277,22259,-0.528776206574312,255,"Del Rey, Alejandro",EURO,2026-03-30 11:59:12 UTC
0,USA,278,27996,-0.531741619617517,346,"Cummins, Quade",PGA,2026-03-30 11:59:12 UTC
0,POL,279,14196,-0.549653854521125,501,"Meronk, Adrian",LIV,2026-03-30 11:59:12 UTC
0,ENG,280,24185,-0.557975249882982,190,"Mansell, Richard",EURO,2026-03-30 11:59:12 UTC
0,CAN,281,17381,-0.559227734809793,245,"Silverman, Ben",PGA,2026-03-30 11:59:12 UTC
0,FRA,282,16652,-0.573120609082886,242,"Langasque, Romain",EURO,2026-03-30 11:59:12 UTC
0,RSA,283,15229,-0.577125297798655,325,"Stone, Brandon",EURO,2026-03-30 11:59:12 UTC
0,FRA,284,28157,-0.579324281797589,335,"Vaillant, Tom",EURO,2026-03-30 11:59:12 UTC
0,CAN,285,18571,-0.579405352678757,369,"Macdonald, Stuart",KFT,2026-03-30 11:59:12 UTC
0,JPN,286,15756,-0.582862787402952,133,"Higa, Kazuki",JPN,2026-03-30 11:59:12 UTC
0,CHN,287,29119,-0.583955965811392,231,"Zhou, Yanhan",OWGR,2026-03-30 11:59:12 UTC
0,NZL,288,24369,-0.584637714360937,191,"Kobori, Kazuma",EURO,2026-03-30 11:59:12 UTC
0,RSA,289,16896,-0.588334327945118,193,"Kruyswijk, Jacques",EURO,2026-03-30 11:59:12 UTC
0,USA,290,27183,-0.59212655105672,257,"Salinda, Isaiah",PGA,2026-03-30 11:59:12 UTC
0,AUS,291,12734,-0.592398223891919,302,"Scrivener, Jason",EURO,2026-03-30 11:59:12 UTC
0,NIR,292,7548,-0.593852887502429,501,"McDowell, Graeme",LIV,2026-03-30 11:59:12 UTC
0,KOR,293,16160,-0.599233817396001,378,"Song, Younghan",JPN,2026-03-30 11:59:12 UTC
0,USA,294,32330,-0.608428933601019,204,"Clanton, Luke",PGA,2026-03-30 11:59:12 UTC
0,DEN,295,15676,-0.608649024746321,210,"Norgaard, Niklas",EURO,2026-03-30 11:59:12 UTC
0,USA,296,19864,-0.616251610711961,500,"Hammer, Cole",KFT,2026-03-30 11:59:12 UTC
0,USA,297,33949,-0.618529812650807,338,"Bacha, Carson",KFT,2026-03-30 11:59:12 UTC
0,JPN,298,21076,-0.622719117716431,398,"Yoshida, Taiki",JPN,2026-03-30 11:59:12 UTC
0,JPN,299,25739,-0.626494232747161,256,"Yonezawa, Ren",JPN,2026-03-30 11:59:12 UTC
